kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
MICE-4C;Kamis;07.30 - 08.20;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;304
MICE-2C;Kamis;08.20 - 09.10;2;Registrasi;2;4;Dr. Etty Khongrat,SE.,M.Si/Yuningsih S.E., M.Si;203
MICE-4C;Kamis;08.20 - 09.10;4;Bahasa Jepang 2;2;4;Asrie Rahmiatie, S.S., M.Hum;304
MICE-2C;Kamis;09.10 - 10.00;2;Geografi Destinasi Pariwisata;2;4;Rimsky K Judiseno, SE, MM, PhD;116
MICE-4C;Kamis;09.10 - 10.00;4;Pemprograman Web Dinamis;2;4;Asep Erlan Maulana, S.Kom., M.Kom;208
MICE-2C;Kamis;10.00 - 10.50;2;Geografi Destinasi Pariwisata;2;4;Rimsky K Judiseno, SE, MM, PhD;116
MICE-4C;Kamis;10.00 - 10.50;4;Pemprograman Web Dinamis;2;4;Asep Erlan Maulana, S.Kom., M.Kom;208
MICE-2C;Kamis;10.50 - 11.40;2;Bahasa Inggris 2;2;4;Vini Deliana, S.Pd.,M.Pd;116
MICE-4C;Kamis;10.50 - 11.40;4;Bahasa Mandarin 1;2;4;Hasan, S.Sos, M. Pd;305
MICE-6C;Kamis;10.50 - 11.40;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si.;online
MICE-2C;Kamis;12.30 - 13.20;2;Bahasa Inggris 2;2;4;Vini Deliana, S.Pd.,M.Pd;116
MICE-4C;Kamis;12.30 - 13.20;4;Bahasa Mandarin 1;2;4;Hasan, S.Sos, M. Pd;305
MICE-6C;Kamis;12.30 - 13.20;6;Kewirausahaan;2;4;Sudarno, S.E., M.Si.;online
MICE-2C;Kamis;13.20 - 14.10;2;Etika Profesi dan Bisnis;2;4;Meisa Sofia, S.Tr., M.Par;116
MICE-4C;Kamis;13.20 - 14.10;4;Perencanaan Incentive Travel;2;4;Imam Syafganti, S.Sos., M.Si., Ph.D./Karbala Madania, S.I.Kom.,M.Si;105
MICE-2C;Kamis;14.10 - 15.00;2;Etika Profesi dan Bisnis;2;4;Meisa Sofia, S.Tr., M.Par;116
