kelas;Hari;Jam;prof;Mata Kuliah;SKS;JPM;Dosen;Ruang
ABT-4A;Selasa;13.20 - 14.10;4;Manajemen Pergudangan;3;6;Yoshua Ardy Putra , S.Si., M.T.;309
ABT-6A;Selasa;13.20 - 14.10;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;online
ABT-4A;Selasa;14.10 - 15.00;4;Manajemen Pergudangan;3;6;Yoshua Ardy Putra , S.Si., M.T.;309
ABT-6A;Selasa;14.10 - 15.00;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;online
ABT-2A;Rabu;07.30 - 08.20;2;Pengantar Logistik dan Supply Chain;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;107
ABT-4A;Rabu;07.30 - 08.20;4;Manajemen Keuangan;3;6;Adilah Permananingrum, S.E., M.Sc.;304
ABT-6A;Rabu;07.30 - 08.20;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;303
ABT-2A;Rabu;08.20 - 09.10;2;Pengantar Logistik dan Supply Chain;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;107
ABT-4A;Rabu;08.20 - 09.10;4;Manajemen Keuangan;3;6;Adilah Permananingrum, S.E., M.Sc.;304
ABT-6A;Rabu;08.20 - 09.10;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;303
ABT-2A;Rabu;09.10 - 10.00;2;Akuntansi Biaya;2;4;Ratri Kurniasari,M.Ak;107
ABT-4A;Rabu;09.10 - 10.00;4;Manajemen Keuangan;3;6;Adilah Permananingrum, S.E., M.Sc.;304
ABT-6A;Rabu;09.10 - 10.00;6;Freight Logistik;3;6;Iqbal Firmansyah, S.S.T., M.T;online
ABT-2A;Rabu;10.00 - 10.50;2;Akuntansi Biaya;2;4;Ratri Kurniasari,M.Ak;107
ABT-4A;Rabu;10.00 - 10.50;4;Manajemen Keuangan;3;6;Adilah Permananingrum, S.E., M.Sc.;304
ABT-6A;Rabu;10.00 - 10.50;6;Freight Logistik;3;6;Iqbal Firmansyah, S.S.T., M.T;online
ABT-2A;Rabu;10.50 - 11.40;2;Ilmu Administrasi Bisnis;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;312
ABT-4A;Rabu;10.50 - 11.40;4;Perencanaan dan pengendalian logistik;2;4;Irfan Rusydi Triyanto, S.T., M.T.;304
ABT-6A;Rabu;10.50 - 11.40;6;E- Logistics;2;4;Restu Jati Saputro, S.Si., M.Sc;online
ABT-2A;Rabu;12.30 - 13.20;2;Ilmu Administrasi Bisnis;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;312
ABT-4A;Rabu;12.30 - 13.20;4;Perencanaan dan pengendalian logistik;2;4;Irfan Rusydi Triyanto, S.T., M.T.;304
ABT-6A;Rabu;12.30 - 13.20;6;E- Logistics;2;4;Restu Jati Saputro, S.Si., M.Sc;online
ABT-2A;Rabu;13.20 - 14.10;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;107
ABT-4A;Rabu;13.20 - 14.10;4;Perencanaan dan pengendalian logistik;2;4;Irfan Rusydi Triyanto, S.T., M.T.;304
ABT-6A;Rabu;13.20 - 14.10;6;Statistik Bisnis;3;6;Yoshua Ardy Putra , S.Si., M.T.;114
ABT-2A;Rabu;14.10 - 15.00;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;107
ABT-4A;Rabu;14.10 - 15.00;4;Perencanaan dan pengendalian logistik;2;4;Irfan Rusydi Triyanto, S.T., M.T.;304
ABT-6A;Rabu;14.10 - 15.00;6;Statistik Bisnis;3;6;Yoshua Ardy Putra , S.Si., M.T.;114
ABT-2A;Kamis;07.30 - 08.20;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;107
ABT-4A;Kamis;07.30 - 08.20;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;online
ABT-6A;Kamis;07.30 - 08.20;6;Manajemen Asuransi Transportasi;2;4;Yanita Ella N.C, S.A.B., M.Si;online
ABT-2A;Kamis;08.20 - 09.10;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;107
ABT-4A;Kamis;08.20 - 09.10;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;online
ABT-6A;Kamis;08.20 - 09.10;6;Manajemen Asuransi Transportasi;2;4;Yanita Ella N.C, S.A.B., M.Si;online
ABT-2A;Kamis;09.10 - 10.00;2;Pengantar Ilmu Ekonomi;2;4;Adilah Permananingrum, S.E., M.Sc.;107
ABT-4A;Kamis;09.10 - 10.00;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;online
ABT-6A;Kamis;09.10 - 10.00;6;Manajemen Asuransi Transportasi;2;4;Yanita Ella N.C, S.A.B., M.Si;online
ABT-2A;Kamis;10.00 - 10.50;2;Pengantar Ilmu Ekonomi;2;4;Adilah Permananingrum, S.E., M.Sc.;107
ABT-4A;Kamis;10.00 - 10.50;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;online
ABT-6A;Kamis;10.00 - 10.50;6;Manajemen Asuransi Transportasi;2;4;Yanita Ella N.C, S.A.B., M.Si;online
ABT-2A;Kamis;10.50 - 11.40;2;Pemasaran dan Pelayanan Pelanggan;2;4;Dr. Dra. Iis Mariam, M.Si;201
ABT-4A;Kamis;10.50 - 11.40;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;online
ABT-6A;Kamis;10.50 - 11.40;6;Freight Logistik;3;6;Iqbal Firmansyah, S.S.T., M.T;online
ABT-2A;Kamis;12.30 - 13.20;2;Pemasaran dan Pelayanan Pelanggan;2;4;Dr. Dra. Iis Mariam, M.Si;201
ABT-4A;Kamis;12.30 - 13.20;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;online
ABT-6A;Kamis;12.30 - 13.20;6;Freight Logistik;3;6;Iqbal Firmansyah, S.S.T., M.T;online
ABT-4A;Kamis;13.20 - 14.10;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;online
ABT-6A;Kamis;13.20 - 14.10;6;Freight Logistik;3;6;Iqbal Firmansyah, S.S.T., M.T;online
ABT-4A;Kamis;14.10 - 15.00;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;online
ABT-6A;Kamis;14.10 - 15.00;6;Freight Logistik;3;6;Iqbal Firmansyah, S.S.T., M.T;online
ABT-2A;Jumat;07.30 - 08.20;2;Ilmu Administrasi Bisnis;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;107
ABT-4A;Jumat;07.30 - 08.20;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;113
ABT-6A;Jumat;07.30 - 08.20;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;115
ABT-2A;Jumat;08.20 - 09.10;2;Ilmu Administrasi Bisnis;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;107
ABT-4A;Jumat;08.20 - 09.10;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;113
ABT-6A;Jumat;08.20 - 09.10;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;115
ABT-2A;Jumat;09.10 - 10.00;2;Akuntansi Biaya;2;4;Ratri Kurniasari,M.Ak;107
ABT-4A;Jumat;09.10 - 10.00;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;115
ABT-6A;Jumat;09.10 - 10.00;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;203
ABT-2A;Jumat;10.00 - 10.50;2;Akuntansi Biaya;2;4;Ratri Kurniasari,M.Ak;107
ABT-4A;Jumat;10.00 - 10.50;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;115
ABT-6A;Jumat;10.00 - 10.50;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;203
ABT-2A;Jumat;10.50 - 11.40;2;Pengantar Logistik dan Supply Chain;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;107
ABT-2A;Jumat;12.30 - 13.20;2;Pengantar Logistik dan Supply Chain;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;107
ABT-2A;Jumat;13.20 - 14.10;2;Pengantar Manajemen;2;4;Yuningsih, S.E., M.Si.;117
ABT-4A;Jumat;13.20 - 14.10;4;manajemen pengadaan barang dan jasa;3;6;Restu Jati Saputro, S.Si., M.Sc;203
ABT-6A;Jumat;13.20 - 14.10;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-2A;Jumat;14.10 - 15.00;2;Pengantar Manajemen;2;4;Yuningsih, S.E., M.Si.;117
ABT-4A;Jumat;14.10 - 15.00;4;manajemen pengadaan barang dan jasa;3;6;Restu Jati Saputro, S.Si., M.Sc;203
ABT-6A;Jumat;14.10 - 15.00;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-4A;Jumat;15.15 - 16.05;4;Manajemen Pergudangan;3;6;Yoshua Ardy Putra , S.Si., M.T.;203
ABT-6A;Jumat;15.15 - 16.05;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-4A;Jumat;16.05 - 16.55;4;Manajemen Pergudangan;3;6;Yoshua Ardy Putra , S.Si., M.T.;203
ABT-6A;Jumat;16.05 - 16.55;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-2B;Senin;07.30 - 08.20;2;Komunikasi Bisnis;2;4;Titik Purwinarti, S.Sos, M.Pd;116
ABT-4B;Senin;07.30 - 08.20;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;203
ABT-2B;Senin;08.20 - 09.10;2;Komunikasi Bisnis;2;4;Titik Purwinarti, S.Sos, M.Pd;116
ABT-4B;Senin;08.20 - 09.10;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;203
ABT-2B;Senin;09.10 - 10.00;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;103
ABT-4B;Senin;09.10 - 10.00;4;manajemen pengadaan barang dan jasa;3;6;Nuria Puspitasari, SE., M.EC., Dev;306
ABT-6B;Senin;09.10 - 10.00;6;E- Logistics;2;4;Haris Satria Putra , M.M.S.I.;online
ABT-2B;Senin;10.00 - 10.50;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;103
ABT-4B;Senin;10.00 - 10.50;4;manajemen pengadaan barang dan jasa;3;6;Nuria Puspitasari, SE., M.EC., Dev;306
ABT-6B;Senin;10.00 - 10.50;6;E- Logistics;2;4;Haris Satria Putra , M.M.S.I.;online
ABT-4B;Senin;10.50 - 11.40;4;manajemen pengadaan barang dan jasa;3;6;Nuria Puspitasari, SE., M.EC., Dev;306
ABT-6B;Senin;10.50 - 11.40;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;online
ABT-4B;Senin;12.30 - 13.20;4;manajemen pengadaan barang dan jasa;3;6;Nuria Puspitasari, SE., M.EC., Dev;306
ABT-6B;Senin;12.30 - 13.20;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;online
ABT-2B;Senin;13.20 - 14.10;2;Pengantar Logistik dan Supply Chain;2;4;Nuria Puspitasari, SE., M.EC., Dev;113
ABT-4B;Senin;13.20 - 14.10;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;305
ABT-6B;Senin;13.20 - 14.10;6;Manajemen Asuransi Transportasi;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;online
ABT-2B;Senin;14.10 - 15.00;2;Pengantar Logistik dan Supply Chain;2;4;Nuria Puspitasari, SE., M.EC., Dev;113
ABT-4B;Senin;14.10 - 15.00;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;305
ABT-6B;Senin;14.10 - 15.00;6;Manajemen Asuransi Transportasi;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;online
ABT-6B;Senin;15.15 - 16.05;6;Freight Logistik;3;6;Yoshua Ardy Putra , S.Si., M.T.;online
ABT-6B;Senin;16.05 - 16.55;6;Freight Logistik;3;6;Yoshua Ardy Putra , S.Si., M.T.;online
ABT-2B;Selasa;07.30 - 08.20;2;Pengantar Ilmu Ekonomi;2;4;Ratri Kurniasari,M.Ak;115
ABT-4B;Selasa;07.30 - 08.20;4;Manajemen Keuangan;3;6;Arif Santoso, S.Pd., M.Ak.;309
ABT-2B;Selasa;08.20 - 09.10;2;Pengantar Ilmu Ekonomi;2;4;Ratri Kurniasari,M.Ak;115
ABT-4B;Selasa;08.20 - 09.10;4;Manajemen Keuangan;3;6;Arif Santoso, S.Pd., M.Ak.;309
ABT-2B;Selasa;09.10 - 10.00;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;116
ABT-4B;Selasa;09.10 - 10.00;4;Manajemen Keuangan;3;6;Arif Santoso, S.Pd., M.Ak.;309
ABT-6B;Selasa;09.10 - 10.00;6;Metodologi Penelitian Bisnis Terapan;3;6;Dr. Wahyudi Utomo, S.Sos, M.Si;111
ABT-2B;Selasa;10.00 - 10.50;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;116
ABT-4B;Selasa;10.00 - 10.50;4;Manajemen Keuangan;3;6;Arif Santoso, S.Pd., M.Ak.;309
ABT-6B;Selasa;10.00 - 10.50;6;Metodologi Penelitian Bisnis Terapan;3;6;Dr. Wahyudi Utomo, S.Sos, M.Si;111
ABT-2B;Selasa;10.50 - 11.40;2;Pengantar Manajemen;2;4;Taufik Akbar, SE., M.S.M;108
ABT-4B;Selasa;10.50 - 11.40;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;302
ABT-6B;Selasa;10.50 - 11.40;6;Metodologi Penelitian Bisnis Terapan;3;6;Dr. Wahyudi Utomo, S.Sos, M.Si;111
ABT-2B;Selasa;12.30 - 13.20;2;Pengantar Manajemen;2;4;Taufik Akbar, SE., M.S.M;108
ABT-4B;Selasa;12.30 - 13.20;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;302
ABT-6B;Selasa;12.30 - 13.20;6;Metodologi Penelitian Bisnis Terapan;3;6;Dr. Wahyudi Utomo, S.Sos, M.Si;111
ABT-2B;Selasa;13.20 - 14.10;2;Ilmu Administrasi Bisnis;2;4;Dr. Dra. Iis Mariam, M.Si;108
ABT-4B;Selasa;13.20 - 14.10;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;302
ABT-6B;Selasa;13.20 - 14.10;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-2B;Selasa;14.10 - 15.00;2;Ilmu Administrasi Bisnis;2;4;Dr. Dra. Iis Mariam, M.Si;108
ABT-4B;Selasa;14.10 - 15.00;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;302
ABT-6B;Selasa;14.10 - 15.00;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-6B;Selasa;15.15 - 16.05;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-6B;Selasa;16.05 - 16.55;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;207
ABT-2B;Rabu;07.30 - 08.20;2;Ilmu Administrasi Bisnis;2;4;Dr. Dra. Iis Mariam, M.Si;108
ABT-4B;Rabu;07.30 - 08.20;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;online
ABT-6B;Rabu;07.30 - 08.20;6;Statistik Bisnis;3;6;Imas Chandra Pratiwi , M.S.M;online
ABT-2B;Rabu;08.20 - 09.10;2;Ilmu Administrasi Bisnis;2;4;Dr. Dra. Iis Mariam, M.Si;108
ABT-4B;Rabu;08.20 - 09.10;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;online
ABT-6B;Rabu;08.20 - 09.10;6;Statistik Bisnis;3;6;Imas Chandra Pratiwi , M.S.M;online
ABT-2B;Rabu;09.10 - 10.00;2;Pengantar Manajemen;2;4;Taufik Akbar, SE., M.S.M;108
ABT-4B;Rabu;09.10 - 10.00;4;Perencanaan dan pengendalian logistik;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;online
ABT-6B;Rabu;09.10 - 10.00;6;E- Logistics;2;4;Haris Satria Putra , M.M.S.I.;online
ABT-2B;Rabu;10.00 - 10.50;2;Pengantar Manajemen;2;4;Taufik Akbar, SE., M.S.M;108
ABT-4B;Rabu;10.00 - 10.50;4;Perencanaan dan pengendalian logistik;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;online
ABT-6B;Rabu;10.00 - 10.50;6;E- Logistics;2;4;Haris Satria Putra , M.M.S.I.;online
ABT-2B;Rabu;10.50 - 11.40;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;108
ABT-4B;Rabu;10.50 - 11.40;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;online
ABT-6B;Rabu;10.50 - 11.40;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-2B;Rabu;12.30 - 13.20;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;108
ABT-4B;Rabu;12.30 - 13.20;4;Aspek Hukum dalam Bisnis;2;4;Dr. Nining Latianingsih, SH, MH;online
ABT-6B;Rabu;12.30 - 13.20;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-4B;Rabu;13.20 - 14.10;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;online
ABT-6B;Rabu;13.20 - 14.10;6;Metodologi Penelitian Bisnis Terapan;3;6;Dr. Wahyudi Utomo, S.Sos, M.Si;online
ABT-4B;Rabu;14.10 - 15.00;4;Pemasaran Digital;2;4;Fachri Aditya,S.Si.,M.M;online
ABT-6B;Rabu;14.10 - 15.00;6;Metodologi Penelitian Bisnis Terapan;3;6;Dr. Wahyudi Utomo, S.Sos, M.Si;online
ABT-2B;Rabu;15.15 - 16.05;2;Komunikasi Bisnis;2;4;Titik Purwinarti, S.Sos, M.Pd;108
ABT-2B;Rabu;16.05 - 16.55;2;Komunikasi Bisnis;2;4;Titik Purwinarti, S.Sos, M.Pd;108
ABT-2B;Kamis;07.30 - 08.20;2;Pemasaran dan Pelayanan Pelanggan;2;4;Endah Wartiningsih, SE, MM;108
ABT-4B;Kamis;07.30 - 08.20;4;Perencanaan dan pengendalian logistik;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;309
ABT-6B;Kamis;07.30 - 08.20;6;Statistik Bisnis;3;6;Imas Chandra Pratiwi , M.S.M;202
ABT-2B;Kamis;08.20 - 09.10;2;Pemasaran dan Pelayanan Pelanggan;2;4;Endah Wartiningsih, SE, MM;108
ABT-4B;Kamis;08.20 - 09.10;4;Perencanaan dan pengendalian logistik;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;309
ABT-6B;Kamis;08.20 - 09.10;6;Statistik Bisnis;3;6;Imas Chandra Pratiwi , M.S.M;202
ABT-2B;Kamis;09.10 - 10.00;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;113
ABT-4B;Kamis;09.10 - 10.00;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;online
ABT-6B;Kamis;09.10 - 10.00;6;Statistik Bisnis;3;6;Imas Chandra Pratiwi , M.S.M;202
ABT-2B;Kamis;10.00 - 10.50;2;Pendidikan Kewarganegaraan;2;4;Erlyn Rosalina, S.Hum., M.Pd;113
ABT-4B;Kamis;10.00 - 10.50;4;Manajemen Distribusi dan Delivery;3;6;Haris Satria Putra , M.M.S.I.;online
ABT-6B;Kamis;10.00 - 10.50;6;Statistik Bisnis;3;6;Imas Chandra Pratiwi , M.S.M;202
ABT-2B;Kamis;10.50 - 11.40;2;Akuntansi Biaya;2;4;Arif Santoso, S.Pd., M.Ak.;113
ABT-2B;Kamis;12.30 - 13.20;2;Akuntansi Biaya;2;4;Arif Santoso, S.Pd., M.Ak.;113
ABT-2B;Kamis;13.20 - 14.10;2;Pengantar Logistik dan Supply Chain;2;4;Nuria Puspitasari, SE., M.EC., Dev;113
ABT-4B;Kamis;13.20 - 14.10;4;Manajemen Pergudangan;3;6;Irfan Rusydi Triyanto, S.T., M.T.;309
ABT-6B;Kamis;13.20 - 14.10;6;Freight Logistik;3;6;Yoshua Ardy Putra , S.Si., M.T.;online
ABT-2B;Kamis;14.10 - 15.00;2;Pengantar Logistik dan Supply Chain;2;4;Nuria Puspitasari, SE., M.EC., Dev;113
ABT-4B;Kamis;14.10 - 15.00;4;Manajemen Pergudangan;3;6;Irfan Rusydi Triyanto, S.T., M.T.;309
ABT-6B;Kamis;14.10 - 15.00;6;Freight Logistik;3;6;Yoshua Ardy Putra , S.Si., M.T.;online
ABT-4B;Kamis;15.15 - 16.05;4;Manajemen Pergudangan;3;6;Irfan Rusydi Triyanto, S.T., M.T.;309
ABT-6B;Kamis;15.15 - 16.05;6;Freight Logistik;3;6;Yoshua Ardy Putra , S.Si., M.T.;online
ABT-4B;Kamis;16.05 - 16.55;4;Manajemen Pergudangan;3;6;Irfan Rusydi Triyanto, S.T., M.T.;309
ABT-6B;Kamis;16.05 - 16.55;6;Freight Logistik;3;6;Yoshua Ardy Putra , S.Si., M.T.;online
ABT-6B;Jumat;07.30 - 08.20;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;online
ABT-6B;Jumat;08.20 - 09.10;6;Etika Bisnis dan Profesi;2;4;Ni Made Widhi S, SE., M.M;online
ABT-2B;Jumat;09.10 - 10.00;2;Akuntansi Biaya;2;4;Arif Santoso, S.Pd., M.Ak.;113
ABT-4B;Jumat;09.10 - 10.00;4;Manajemen Pergudangan;3;6;Irfan Rusydi Triyanto, S.T., M.T.;online
ABT-6B;Jumat;09.10 - 10.00;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-2B;Jumat;10.00 - 10.50;2;Akuntansi Biaya;2;4;Arif Santoso, S.Pd., M.Ak.;113
ABT-4B;Jumat;10.00 - 10.50;4;Manajemen Pergudangan;3;6;Irfan Rusydi Triyanto, S.T., M.T.;online
ABT-6B;Jumat;10.00 - 10.50;6;Manajemen Inventory;2;4;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-2B;Jumat;10.50 - 11.40;2;Pengantar Ilmu Ekonomi;2;4;Ratri Kurniasari,M.Ak;113
ABT-4B;Jumat;10.50 - 11.40;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;online
ABT-6B;Jumat;10.50 - 11.40;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;online
ABT-2B;Jumat;12.30 - 13.20;2;Pengantar Ilmu Ekonomi;2;4;Ratri Kurniasari,M.Ak;113
ABT-4B;Jumat;12.30 - 13.20;4;Manajemen Resiko;2;4;Meisa Sofia, S.Tr., M.Par;online
ABT-6B;Jumat;12.30 - 13.20;6;Budgeting;3;6;Adilah Permananingrum, S.E., M.Sc.;online
ABT-2B;Jumat;13.20 - 14.10;2;Pemasaran dan Pelayanan Pelanggan;2;4;Endah Wartiningsih, SE, MM;113
ABT-4B;Jumat;13.20 - 14.10;4;manajemen pengadaan barang dan jasa;3;6;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-2B;Jumat;14.10 - 15.00;2;Pemasaran dan Pelayanan Pelanggan;2;4;Endah Wartiningsih, SE, MM;113
ABT-4B;Jumat;14.10 - 15.00;4;manajemen pengadaan barang dan jasa;3;6;Nuria Puspitasari, SE., M.EC., Dev;online
ABT-4B;Jumat;15.15 - 16.05;4;Manajemen Keuangan;3;6;Arif Santoso, S.Pd., M.Ak.;online
ABT-6B;Jumat;15.15 - 16.05;6;Manajemen Asuransi Transportasi;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;online
ABT-4B;Jumat;16.05 - 16.55;4;Manajemen Keuangan;3;6;Arif Santoso, S.Pd., M.Ak.;online
ABT-6B;Jumat;16.05 - 16.55;6;Manajemen Asuransi Transportasi;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;online
ABT-6C;Senin;07.30 - 08.20;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;306
ABT-6C;Senin;08.20 - 09.10;6;Metodologi Penelitian Bisnis Terapan;3;6;Imas Chandra Pratiwi , M.S.M;306
ABT-2C;Senin;09.10 - 10.00;2;Komunikasi Bisnis;2;4;Titik Purwinarti, S.Sos, M.Pd;105
ABT-4C;Senin;09.10 - 10.00;4;Perencanaan dan pengendalian logistik;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;307
ABT-6C;Senin;09.10 - 10.00;6;Budgeting;3;6;Arif Santoso, S.Pd., M.Ak.;207
ABT-2C;Senin;10.00 - 10.50;2;Komunikasi Bisnis;2;4;Titik Purwinarti, S.Sos, M.Pd;105
ABT-4C;Senin;10.00 - 10.50;4;Perencanaan dan pengendalian logistik;2;4;Arizal Putra Pratama,B.O.M.,M.A.B;307
ABT-6C;Senin;10.00 - 10.50;6;Budgeting;3;6;Arif Santoso, S.Pd., M.Ak.;207
ABT-2C;Senin;10.50 - 11.40;2;Pengantar Manajemen;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;112
ABT-4C;Senin;10.50 - 11.40;4;Manajemen Pergudangan;3;4;Irfan Rusydi Triyanto, S.T., M.T.;307
ABT-6C;Senin;10.50 - 11.40;6;Budgeting;3;6;Arif Santoso, S.Pd., M.Ak.;207
ABT-2C;Senin;12.30 - 13.20;2;Pengantar Manajemen;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;112
ABT-4C;Senin;12.30 - 13.20;4;Manajemen Pergudangan;3;4;Irfan Rusydi Triyanto, S.T., M.T.;307
ABT-6C;Senin;12.30 - 13.20;6;Budgeting;3;6;Arif Santoso, S.Pd., M.Ak.;207
ABT-2C;Senin;13.20 - 14.10;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;103
ABT-4C;Senin;13.20 - 14.10;4;Manajemen Pergudangan;3;4;Irfan Rusydi Triyanto, S.T., M.T.;307
ABT-6C;Senin;13.20 - 14.10;6;Etika Bisnis dan Profesi;2;4;Titik Purwinarti, S.Sos, M.Pd;online
ABT-2C;Senin;14.10 - 15.00;2;English For Business;2;4;Dr. Nidia Sofa, S.Pd.I, M.Pd;103
ABT-4C;Senin;14.10 - 15.00;4;Manajemen Pergudangan;3;4;Irfan Rusydi Triyanto, S.T., M.T.;307
ABT-6C;Senin;14.10 - 15.00;6;Etika Bisnis dan Profesi;2;4;Titik Purwinarti, S.Sos, M.Pd;online
ABT-4C;Senin;15.15 - 16.05;4;Manajemen Resiko;2;4;Nuria Puspitasari, SE., M.EC., Dev;103
ABT-4C;Senin;16.05 - 16.55;4;Manajemen Resiko;2;4;Nuria Puspitasari, SE., M.EC., Dev;103
ABT-2C;Selasa;07.30 - 08.20;2;Pengantar Manajemen;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;107
ABT-4C;Selasa;07.30 - 08.20;4;manajemen pengadaan barang dan jasa;3;6;Dr. Syamsu Rizal, SE, MM;201
ABT-6C;Selasa;07.30 - 08.20;6;E- Logistics;2;4;Restu Jati Saputro, S.Si., M.Sc;online
ABT-2C;Selasa;08.20 - 09.10;2;Pengantar Manajemen;2;4;Dr. Wahyudi Utomo, S.Sos, M.Si;107
